1,78,344,332,299
1,101,322,314,224
0,68,342,347,347
0,90,331,319,314
0,80,306,325,293
0,99,306,270,301
1,96,286,278,207
1,78,329,299,267
0,95,303,301,302
0,94,293,314,274
0,82,276,264,268
1,98,364,299,273
0,16,303,275,284
1,77,293,250,199
0,90,294,278,276
1,95,356,347,236
1,93,294,267,264
1,95,301,268,258
0,99,256,241,237
0,89,265,276,248
0,4,306,309,295
1,92,283,276,218
0,89,252,243,227
0,63,294,284,279
1,53,305,276,253
1,96,282,315,280
0,92,293,285,240
0,60,277,280,267
0,60,298,277,277
1,97,278,286,204
0,87,291,267,281
1,21,269,252,256
0,97,277,271,250
0,100,259,269,245
0,99,311,323,322
1,26,289,269,268
1,23,337,377,287
0,96,330,347,337
1,32,296,277,263
0,75,292,281,276
1,96,294,254,196
0,91,279,304,277
0,99,287,280,260
0,0,279,287,281
0,29,250,250,243
1,85,380,352,320
1,99,308,276,214
1,99,292,258,215
0,79,299,278,302
1,87,269,265,265
1,20,278,264,263
0,85,346,371,354
1,27,288,290,279
0,99,302,301,314
1,0,281,283,271
0,92,295,315,311
1,71,292,289,275
0,18,356,383,313
1,82,306,288,239
1,99,302,286,205
1,100,271,264,192
0,37,294,277,277
1,41,300,295,276
1,47,334,340,306
1,2,277,269,294
1,37,355,317,321
0,100,282,266,274
0,98,302,287,263
1,20,382,382,343
1,98,314,321,279
1,54,282,269,225
1,11,279,255,274
1,10,270,276,271
1,100,263,255,189
1,93,320,352,273
1,57,287,244,206
1,18,282,264,285
1,94,282,277,275
1,75,286,269,237
0,97,303,277,276
1,4,276,279,270
0,15,287,293,261
0,0,279,277,276
0,81,303,254,244
0,98,260,224,240
1,0,277,258,269
1,45,331,324,269
0,95,265,272,253
1,96,300,264,252
0,27,284,282,270
0,93,282,285,288
0,99,276,285,286
1,0,295,284,294
1,60,313,310,283
1,25,309,322,303
1,95,291,305,269
0,100,297,259,267
1,12,341,321,302
0,89,296,287,308
1,29,314,278,254
0,79,286,268,268
0,98,286,293,281
0,99,276,248,269
0,89,291,291,296
0,97,378,378,336
0,37,266,264,256
1,95,266,266,189
1,87,288,278,269
0,42,279,287,279
0,19,276,274,266
0,99,276,283,239
0,19,302,295,287
0,54,302,269,251
1,33,260,261,233
1,36,276,294,256
0,59,276,237,252
0,96,262,248,260
1,97,292,292,206
0,3,283,276,279
0,77,442,435,419
1,92,295,293,264
1,99,273,274,191
0,0,313,272,287
0,57,286,268,273
0,83,318,290,295
1,62,291,285,242
0,81,303,265,274
0,75,267,273,269
0,97,291,280,291
1,32,257,259,250
0,87,269,306,296
0,92,269,242,230
1,98,267,242,207
1,38,294,280,258
1,43,317,284,259
1,98,319,310,218
0,84,270,256,234
1,81,269,289,283
0,99,284,261,247
0,46,343,382,380
0,79,272,259,263
0,96,269,268,250
0,97,284,280,285
0,83,304,295,290
1,56,247,251,232
1,7,295,293,304
0,93,286,273,239
1,34,291,269,276
1,72,368,376,374
0,13,301,300,273
0,75,409,373,357
0,100,383,334,336
1,90,305,267,204
0,96,317,319,300
0,95,305,284,273
1,93,274,262,224
1,3,307,296,290
0,97,284,275,248
0,97,287,294,261
1,90,285,264,240
0,98,312,278,283
0,97,266,280,264
0,29,306,319,305
0,10,273,265,264
1,16,308,289,264
0,100,249,258,219
0,100,289,262,267
1,25,269,257,279
1,8,279,281,281
1,92,302,292,246
1,96,267,270,239
0,100,268,291,254
0,26,353,339,349
1,57,283,272,261
1,97,286,278,201
1,72,299,275,218
0,86,309,280,288
1,2,276,288,264
0,14,278,255,271
1,94,317,291,235
0,85,304,278,262
0,91,262,251,274
0,82,371,355,347
0,36,283,286,293
1,77,297,249,247
0,67,269,267,261
0,0,301,293,291
1,100,282,272,205
0,69,319,297,301
0,96,307,282,286
1,27,292,278,283
0,97,328,330,346
0,93,273,300,287
1,98,307,263,268
0,66,435,402,403
0,94,289,279,289
1,91,278,271,231
1,96,273,287,236
1,0,262,259,265
1,84,299,289,245
1,9,287,305,281
1,8,340,331,297
0,97,310,298,291
0,90,299,285,266
0,96,277,265,270
0,99,295,293,280
0,83,294,283,262
1,93,273,266,214
1,93,279,252,221
0,56,259,278,276
1,35,282,265,285
0,90,284,257,247
1,100,282,270,219
1,89,310,291,194
0,40,302,291,305
0,78,279,272,253
0,11,277,275,284
1,21,296,252,284
1,34,298,295,288
1,8,275,286,254
0,96,311,301,284
0,35,283,282,266
1,50,304,297,303
0,95,265,278,266
1,3,296,271,274
1,98,304,309,281
1,95,275,272,202
0,86,300,285,281
1,98,281,278,224
0,87,276,242,246
1,100,385,335,246
1,73,367,355,316
1,85,268,276,223
1,68,302,268,237
0,73,287,268,252
0,41,290,299,268
0,81,269,268,242
1,67,329,344,294
1,21,258,265,269
1,51,412,413,350
0,90,321,307,298
1,28,288,258,242
0,94,308,327,298
0,23,421,423,427
1,95,281,274,221
1,74,292,303,259
1,36,304,315,276
0,97,307,313,299
0,91,271,270,259
1,95,302,271,203
0,100,288,281,257
0,97,290,280,278
1,34,316,313,283
1,15,276,270,266
0,54,325,308,331
1,16,315,282,269
1,94,338,338,278
1,87,268,261,260
1,52,303,294,232
0,99,296,270,268
1,88,308,317,266
1,54,294,263,256
